,pnName,eqpName,perfId,ymdms,volTage,amPere,arPower,atvPower,ratPower,pwFactor,accruePower,voltagerS,voltagesT,voltagetR,temperature
1431,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125514,227.797,0.367,73582,3556,4294890000,10,2124850,393.241,394.556,392.027,21.888
1432,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125539,227.962,0.369,73773,3366,4294890000,10,2124850,393.73,394.842,392.566,21.888
1433,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125654,228.022,0.367,73853,3364,4294890000,10,2124850,393.001,394.946,391.845,21.696
1434,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125719,227.631,0.367,74088,3444,4294890000,10,2124850,392.443,394.268,391.558,21.888
1435,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125744,227.6,0.366,73319,3736,4294890000,10,2124850,392.845,394.215,392.1,21.696
1436,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125809,227.6,0.366,73319,3736,4294890000,10,2124850,392.845,394.215,392.1,21.696
1437,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125924,227.169,0.366,74358,3232,4294890000,10,2124850,391.823,393.468,390.494,21.696
1438,PA-A-30_판넬PC,2층203호냉난방기,300,20210307125949,227.133,0.366,74645,3566,4294890000,10,2124850,391.625,393.406,390.364,21.888
1439,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130014,226.899,0.364,74161,3631,4294890000,10,2124850,392.136,393.001,390.92,21.696
1440,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130039,227.352,0.365,74497,3645,4294890000,10,2124850,392.008,393.785,390.829,21.888
1441,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130154,227.073,0.365,73553,3287,4294890000,10,2124850,392.299,393.302,391.194,21.888
1442,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130219,226.868,0.364,73569,3281,4294890000,10,2124850,392.791,392.947,391.52,21.888
1443,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130244,226.868,0.364,73569,3281,4294890000,10,2124850,392.791,392.947,391.52,21.888
1444,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130309,227.129,0.366,73372,3513,4294890000,10,2124850,392.521,393.399,391.367,21.888
1445,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130359,227.297,0.366,73465,3776,4294890000,10,2124850,392.774,393.69,391.537,21.696
1446,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130424,227.204,0.366,74434,3495,4294890000,10,2124850,392.393,393.529,391.049,21.696
1447,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130449,227.044,0.365,73738,3298,4294890000,10,2124850,392.689,393.252,391.191,21.888
1448,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130514,227.062,0.365,73126,3189,4294890000,10,2124850,392.382,393.283,391.357,21.888
1449,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130539,227.409,0.366,73277,3357,4294890000,10,2124850,392.718,393.884,391.639,21.504
1450,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130654,226.806,0.363,73417,3768,4294890000,10,2124850,391.939,392.84,390.702,21.888
1451,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130719,227.268,0.365,73681,3454,4294890000,10,2124850,392.891,393.64,391.275,21.888
1452,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130744,227.236,0.365,74279,3424,4294890000,10,2124850,392.708,393.584,391.241,21.888
1453,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130809,227.206,0.365,74149,3388,4294890000,10,2124850,392.509,393.532,391.154,21.888
1454,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130859,227.29,0.365,74516,3172,4294890000,10,2124850,392.275,393.678,390.91,21.888
1455,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130924,227.29,0.365,74516,3172,4294890000,10,2124850,392.275,393.678,390.91,21.888
1456,PA-A-30_판넬PC,2층203호냉난방기,300,20210307130949,227.29,0.365,74516,3172,4294890000,10,2124850,392.275,393.678,390.91,21.888
1457,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131014,227.111,0.366,73388,3338,4294890000,10,2124850,392.779,393.368,391.463,21.888
1458,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131039,227.111,0.366,73388,3338,4294890000,10,2124850,392.779,393.368,391.463,21.888
1459,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131129,227.43,0.365,72642,3452,4294900000,10,2124850,392.278,393.92,390.971,21.888
1460,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131154,227.43,0.365,72642,3452,4294900000,10,2124850,392.278,393.92,390.971,21.888
1461,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131219,227.575,0.366,73598,3557,4294890000,10,2124850,392.734,394.171,391.376,21.696
1462,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131244,227.144,0.365,74297,3295,4294890000,10,2124850,392.505,393.425,391.312,21.888
1463,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131309,226.905,0.364,73566,3726,4294890000,10,2124850,392.292,393.011,390.905,21.888
1464,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131334,227.214,0.366,74605,3556,4294890000,10,2124850,392.441,393.546,391.111,21.888
1465,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131424,227.402,0.365,74916,3371,4294890000,10,2124850,392.015,393.872,391.043,21.888
1466,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131449,227.201,0.365,74474,3493,4294890000,10,2124850,392.455,393.524,391.227,21.888
1467,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131514,227.151,0.365,73779,3489,4294890000,10,2124850,392.713,393.437,391.499,21.888
1468,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131539,227.151,0.365,73779,3489,4294890000,10,2124850,392.713,393.437,391.499,21.888
1469,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131629,227.017,0.364,74003,3509,4294890000,10,2124850,391.911,393.205,390.491,21.888
1470,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131654,227.311,0.366,74691,3342,4294890000,10,2124850,391.745,393.714,390.567,21.888
1471,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131719,227.311,0.366,74691,3342,4294890000,10,2124850,391.745,393.714,390.567,21.888
1472,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131744,227.311,0.366,74691,3342,4294890000,10,2124850,391.745,393.714,390.567,21.888
1473,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131809,226.984,0.364,73017,3608,4294890000,10,2124850,392.566,393.148,391.274,21.888
1474,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131834,227.228,0.365,72872,3589,4294890000,10,2124850,392.398,393.57,391.334,21.888
1475,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131924,227.111,0.366,72867,3953,4294890000,10,2124850,393.044,393.368,391.454,21.888
1476,PA-A-30_판넬PC,2층203호냉난방기,300,20210307131950,226.934,0.365,72923,3647,4294890000,10,2124850,393.106,393.061,391.407,21.888
1477,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132015,226.963,0.367,73802,3118,4294890000,10,2124850,393.016,393.111,391.492,21.888
1478,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132040,226.963,0.367,73802,3118,4294890000,10,2124850,393.016,393.111,391.492,21.888
1479,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132105,226.993,0.366,74384,3782,4294890000,10,2124850,392.244,393.163,391.05,21.888
1480,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132155,226.993,0.366,74384,3782,4294890000,10,2124850,392.244,393.163,391.05,21.888
1481,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132220,226.993,0.366,74384,3782,4294890000,10,2124850,392.244,393.163,391.05,21.888
1482,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132245,226.993,0.366,74384,3782,4294890000,10,2124850,392.244,393.163,391.05,21.888
1483,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132310,226.993,0.366,74384,3782,4294890000,10,2124850,392.244,393.163,391.05,21.888
1484,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132335,226.993,0.366,74384,3782,4294890000,10,2124850,392.244,393.163,391.05,21.888
1485,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132425,226.885,0.365,73958,3404,4294890000,10,2124850,391.892,392.976,390.562,21.888
1486,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132450,226.885,0.365,73958,3404,4294890000,10,2124850,391.892,392.976,390.562,21.888
1487,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132515,226.885,0.365,73958,3404,4294890000,10,2124850,391.892,392.976,390.562,21.888
1488,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132540,226.822,0.364,74572,3190,4294890000,10,2124850,392.093,392.867,390.822,21.888
1489,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132605,226.726,0.365,73847,3588,4294890000,10,2124850,392.864,392.701,391.362,21.888
1490,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132655,227.381,0.365,73850,3132,4294890000,10,2124850,392.439,393.835,391.244,21.888
1491,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132720,227.157,0.365,73786,3477,4294890000,10,2124850,392.017,393.447,390.929,21.888
1492,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132745,227.1,0.364,73273,3272,4294890000,10,2124850,391.935,393.349,390.778,21.888
1493,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132810,226.99,0.366,73030,3365,4294890000,10,2124850,392.098,393.158,390.725,21.888
1494,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132835,227.282,0.366,72925,3519,4294890000,10,2124850,392.133,393.664,391.08,21.888
1495,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132925,227.085,0.365,72540,3313,4294900000,10,2124850,391.998,393.323,390.827,21.888
1496,PA-A-30_판넬PC,2층203호냉난방기,300,20210307132950,227.591,0.366,72701,3828,4294890000,10,2124850,392.571,394.199,391.284,21.888
1497,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133015,227.331,0.367,73096,3412,4294890000,10,2124850,392.561,393.749,391.327,22.08
1498,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133040,227.502,0.367,72843,3638,4294890000,10,2124850,392.976,394.045,391.876,21.888
1499,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133105,227.398,0.365,72920,3423,4294890000,10,2124850,392.42,393.865,391.464,21.888
1500,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133155,226.662,0.365,73683,3486,4294890000,10,2124850,392.465,392.59,391.095,21.888
1501,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133220,226.662,0.365,73683,3486,4294890000,10,2124850,392.465,392.59,391.095,21.888
1502,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133245,227.16,0.366,75050,3516,4294890000,10,2124850,391.731,393.453,390.628,21.888
1503,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133310,227.303,0.367,74905,3295,4294890000,10,2124850,391.601,393.7,390.619,21.888
1504,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133335,226.961,0.365,74621,3388,4294890000,10,2124850,391.835,393.108,390.706,21.888
1505,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133425,227.096,0.364,74177,3466,4294890000,10,2124850,392.55,393.342,391.189,21.888
1506,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133450,227.096,0.364,74177,3466,4294890000,10,2124850,392.55,393.342,391.189,21.888
1507,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133515,226.862,0.364,73250,3636,4294890000,10,2124850,392.112,392.936,391.087,21.888
1508,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133540,227.073,0.364,73861,3373,4294890000,10,2124850,392.323,393.302,390.671,21.888
1509,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133605,227.037,0.365,74074,3494,4294890000,10,2124850,391.812,393.24,390.5,21.888
1510,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133655,227.158,0.366,73064,3416,4294890000,10,2124850,392.5,393.449,391.118,21.888
1511,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133720,226.926,0.364,72387,3628,4294900000,10,2124850,393.008,393.047,391.549,21.888
1512,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133745,227.15,0.366,73313,3613,4294890000,10,2124850,392.523,393.435,391.234,22.08
1513,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133810,227.366,0.366,72808,3411,4294890000,10,2124850,392.358,393.809,391.469,21.888
1514,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133835,227.275,0.365,72598,3536,4294900000,10,2124850,392.568,393.652,391.464,21.888
1515,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133925,227.556,0.365,73409,3275,4294890000,10,2124850,392.618,394.139,391.36,21.888
1516,PA-A-30_판넬PC,2층203호냉난방기,300,20210307133950,227.206,0.365,72917,3530,4294890000,10,2124850,392.568,393.532,391.513,21.888
1517,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134015,227.366,0.365,73863,3892,4294890000,10,2124850,392.517,393.809,391.225,21.888
1518,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134040,227.366,0.365,73863,3892,4294890000,10,2124850,392.517,393.809,391.225,21.888
1519,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134105,227.211,0.367,73829,3376,4294890000,10,2124850,393.084,393.541,391.508,22.08
1520,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134155,227.524,0.366,74003,3325,4294890000,10,2124850,392.718,394.083,391.525,22.08
1521,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134220,227.524,0.366,74003,3325,4294890000,10,2124850,392.718,394.083,391.525,22.08
1522,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134245,227.015,0.364,73620,3348,4294890000,10,2124850,392.355,393.202,390.877,21.888
1523,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134310,227.095,0.364,73368,3427,4294890000,10,2124850,392.516,393.34,391.109,22.08
1524,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134335,227.095,0.364,73368,3427,4294890000,10,2124850,392.516,393.34,391.109,22.08
1525,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134425,226.588,0.364,73821,3363,4294890000,10,2124850,392.595,392.462,390.943,22.08
1526,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134515,227.002,0.365,73820,3344,4294890000,10,2124850,392.266,393.179,391.191,21.888
1527,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134540,227.002,0.365,73820,3344,4294890000,10,2124850,392.266,393.179,391.191,21.888
1528,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134605,226.62,0.366,73530,3630,4294890000,10,2124850,392.339,392.517,390.971,21.888
1529,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134656,226.881,0.364,73011,3133,4294890000,10,2124850,392.256,392.969,390.829,21.888
1530,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134721,227.077,0.366,73330,3632,4294890000,10,2124850,392.18,393.309,390.64,21.888
1531,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134746,227.159,0.364,73661,3372,4294890000,10,2124850,392.216,393.451,390.917,21.888
1532,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134811,227.159,0.364,73661,3372,4294890000,10,2124850,392.216,393.451,390.917,21.888
1533,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134836,226.536,0.365,73635,3654,4294890000,10,2124850,392.387,392.372,390.508,22.08
1534,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134926,227.497,0.366,73148,3331,4294890000,10,2124850,392.791,394.036,391.12,21.888
1535,PA-A-30_판넬PC,2층203호냉난방기,300,20210307134951,226.734,0.365,72612,3812,4294900000,10,2124850,392.819,392.715,391.165,21.888
